Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Pubmed IDs	CCDS IDs	UniProt ID(supplied by UniProt)
C10orf54	chromosome 10 open reading frame 54		SISP1, GI24, B7-H5, B7H5, VISTA	"stress induced secreted protein 1", "V-domain Ig suppressor of T cell activation"	12975309, 24691993	CCDS31218	Q9H7M9
C10orf55	chromosome 10 open reading frame 55		bA417O11.3			CCDS53541	Q5SWW7
C10orf62	chromosome 10 open reading frame 62		bA548K23.1			CCDS31261	Q5T681
C10orf67	chromosome 10 open reading frame 67		MGC46732		12477932	CCDS44365	Q8IYJ2
C10orf71	chromosome 10 open reading frame 71		FLJ45913			CCDS44387	Q711Q0
C10orf71-AS1	C10orf71 antisense RNA 1						
C10orf76	chromosome 10 open reading frame 76		FLJ13114		14702039	CCDS41563	Q5T2E6
C10orf82	chromosome 10 open reading frame 82		MGC33547, Em:AC016825.4		12477932	CCDS7596	Q8WW14
C10orf88	chromosome 10 open reading frame 88		FLJ13490, Em:AC073585.5		12477932	CCDS7632	Q9H8K7
C10orf90	chromosome 10 open reading frame 90		FLJ32938, bA422P15.2, FATS	"fragile-site associated tumor suppressor"	20843368, 20154723	CCDS31310	Q96M02
C10orf91	chromosome 10 open reading frame 91		bA432J24.4		12477932		Q5T1B1
C10orf95	chromosome 10 open reading frame 95		FLJ14280				Q9H7T3
C10orf99	chromosome 10 open reading frame 99		UNQ1833, RLLV1833, FLJ21763, CSBF, AP-57	"colon-derived SUSD2 binding factor", "anti-microbial peptide with 57 amino acid residues"	12975309, 25351403, 25585381	CCDS7371	Q6UWK7
C10orf105	chromosome 10 open reading frame 105		FLJ00245			CCDS44430	Q8TEF2
C10orf107	chromosome 10 open reading frame 107		bA63A2.1, Em:AC022398.2, MGC44593		12477932	CCDS7262	Q8IVU9
C10orf111	chromosome 10 open reading frame 111		MGC35468, bA455B2.4		12477932		Q8N326
C10orf113	chromosome 10 open reading frame 113		bA165O3.1			CCDS31162, CCDS31162, CCDS53496	Q5VZT2
C10orf120	chromosome 10 open reading frame 120		bA318C4.1			CCDS31302	Q5SQS8
C10orf126	chromosome 10 open reading frame 126		MGC45541, bA492M23.1		12477932		Q8N4M7
C10orf128	chromosome 10 open reading frame 128		Em:AC084727.5		12477932	CCDS41519, CCDS73128	Q5T292
C10orf131	chromosome 10 open reading frame 131		bA690P14.3			CCDS58090	A6NCD4
C10orf142	chromosome 10 open reading frame 142					CCDS73090	B7Z368
C11orf1	chromosome 11 open reading frame 1		FLJ23499		10873569	CCDS8350	Q9H5F2
C11orf16	chromosome 11 open reading frame 16				11528127	CCDS7794	Q9NQ32
C11orf21	chromosome 11 open reading frame 21				11054561	CCDS44518	Q9P2W6
C11orf24	chromosome 11 open reading frame 24		DM4E3		11401438, 24312644	CCDS8180, CCDS73338	Q96F05
C11orf31	chromosome 11 open reading frame 31		SELH	"selenoprotein H"	12775843	CCDS44602	Q8IZQ5
C11orf40	chromosome 11 open reading frame 40		NOV1			CCDS31354	Q8WZ69
C11orf42	chromosome 11 open reading frame 42		MGC34805		12477932	CCDS7759	Q8N5U0
C11orf44	chromosome 11 open reading frame 44		FLJ39058				Q8N8P7
C11orf45	chromosome 11 open reading frame 45		MGC35558, FLJ43646			CCDS8478	Q8TAV5
C11orf49	chromosome 11 open reading frame 49		FLJ22210, MGC4707			CCDS7925, CCDS31479, CCDS31480, CCDS41641	Q9H6J7
C11orf52	chromosome 11 open reading frame 52		MGC14839, FLJ25219			CCDS8353	Q96A22
C11orf53	chromosome 11 open reading frame 53		MGC50104		25048349	CCDS31674	Q8IXP5
C11orf54	chromosome 11 open reading frame 54		PTD012		16522806	CCDS8294, CCDS66204, CCDS73365, CCDS73366	Q9H0W9
C11orf57	chromosome 11 open reading frame 57		FLJ10726		12477932	CCDS8356, CCDS41715, CCDS73383	Q6ZUT1
C11orf58	chromosome 11 open reading frame 58		SMAP	"small acidic protein"	9263035	CCDS7822	O00193
C11orf63	chromosome 11 open reading frame 63		FLJ23554		12477932	CCDS8438, CCDS8439	Q6NUN7
C11orf65	chromosome 11 open reading frame 65		MGC33948		12477932	CCDS8340	Q8NCR3
C11orf68	chromosome 11 open reading frame 68		P5326, BLES03	"basophilic leukemia-expressed protein"	16511166	CCDS8122, CCDS44652	Q9H3H3
C11orf70	chromosome 11 open reading frame 70		MGC13040			CCDS8313, CCDS8313, CCDS53698	Q9BRQ4
C11orf71	chromosome 11 open reading frame 71		FLJ20010		12477932	CCDS8369, CCDS76479	Q6IPW1
C11orf72	chromosome 11 open reading frame 72		FLJ90834				Q8NBR9
C11orf73	chromosome 11 open reading frame 73		HSPC138, HSPC179, Hikeshi, OPI10		11042152, 22541429	CCDS8275	Q53FT3
C11orf74	chromosome 11 open reading frame 74		FLJ38678, HEPIS		12477932	CCDS7904, CCDS60762	Q86VG3
C11orf80	chromosome 11 open reading frame 80		FLJ22531		18160775	CCDS53664, CCDS76440	Q8N6T0
C11orf84	chromosome 11 open reading frame 84				12477932	CCDS31594	Q9BUA3
C11orf85	chromosome 11 open reading frame 85				14702039	CCDS31603, CCDS73316	Q3KP22
C11orf86	chromosome 11 open reading frame 86		FLJ22675			CCDS44656	A6NJI1
C11orf87	chromosome 11 open reading frame 87		LOH11CR1A, LOC399947, NEURIM1	"neuronal integral membrane protein 1"	12477932	CCDS31672	Q6NUJ2
C11orf88	chromosome 11 open reading frame 88		FLJ46266	"hypothetical gene supported by BC039505"	12477932	CCDS41712, CCDS41713	Q6PI97
C11orf91	chromosome 11 open reading frame 91					CCDS53615	Q3C1V1
C11orf94	chromosome 11 open reading frame 94					CCDS44577	C9JXX5
C11orf95	chromosome 11 open reading frame 95		MGC3032		20607705		C9JLR9
C11orf96	chromosome 11 open reading frame 96		AG2			CCDS73275	Q7Z7L8
C11orf97	chromosome 11 open reading frame 97	LINC01171					
C11orf98	chromosome 11 open reading frame 98	C11orf48				CCDS73306	E9PRG8
C11orf98P1	chromosome 11 open reading frame 98 pseudogene 1						
C12orf4	chromosome 12 open reading frame 4				25122211	CCDS8528	Q9NQ89
C12orf10	chromosome 12 open reading frame 10		MYG, MYG1, Gamm1	"melanocyte related gene", "melanocyte proliferating gene 1"		CCDS31810	Q9HB07
C12orf29	chromosome 12 open reading frame 29		DKFZp434N2030		14702039	CCDS31866	Q8N999
C12orf40	chromosome 12 open reading frame 40		FLJ40126		12477932	CCDS41770	Q86WS4
C12orf42	chromosome 12 open reading frame 42		FLJ25323			CCDS44963	Q96LP6
C12orf43	chromosome 12 open reading frame 43		FLJ12448		8619474, 9110174	CCDS66486, CCDS66487, CCDS9210, CCDS76613	Q96C57
C12orf45	chromosome 12 open reading frame 45		MGC40397		12477932	CCDS41825	Q8N5I9
C12orf49	chromosome 12 open reading frame 49		FLJ21415		12477932	CCDS9179	Q9H741
C12orf50	chromosome 12 open reading frame 50		FLJ35821		12477932	CCDS9031	Q8NA57
C12orf54	chromosome 12 open reading frame 54		MGC35033		12477932	CCDS8764	Q6X4T0
C12orf56	chromosome 12 open reading frame 56					CCDS44935, CCDS61182	Q8IXR9
C12orf57	chromosome 12 open reading frame 57		GRCC10, C10		9445485, 23453665	CCDS8571, CCDS76515, CCDS76516	Q99622
C12orf60	chromosome 12 open reading frame 60		MGC47869		12477932	CCDS8667	Q5U649
C12orf65	chromosome 12 open reading frame 65		FLJ38663, SPG55		20598281, 22688947, 23188110	CCDS9244	Q9H3J6
C12orf66	chromosome 12 open reading frame 66		FLJ32549		12477932	CCDS41803, CCDS73490, CCDS76574	Q96MD2
C12orf71	chromosome 12 open reading frame 71		LOC728858			CCDS44851	A8MTZ7
C12orf73	chromosome 12 open reading frame 73		FLJ13975, DKFZp547P055			CCDS44964	Q69YU5
C12orf74	chromosome 12 open reading frame 74				12477932	CCDS41819, CCDS53818	Q32Q52
C12orf75	chromosome 12 open reading frame 75		OCC-1, OCC1, AGD3	"adipogenesis down-regulated 3", "overexpressed in colon carcinoma 1"	19531736	CCDS55879	Q8TAD7
C12orf76	chromosome 12 open reading frame 76		FLJ40142			CCDS9141	Q8N812
C12orf77	chromosome 12 open reading frame 77				12477932		C9JDV5
C12orf80	chromosome 12 open reading frame 80						
C14orf1	chromosome 14 open reading frame 1		NET51, ERG28		10449901, 12958361, 11160377	CCDS9845	Q9UKR5
C14orf2	chromosome 14 open reading frame 2		MP68	"6.8 kDa mitochondrial proteolipid"	9653160	CCDS9986, CCDS45169	P56378
C14orf28	chromosome 14 open reading frame 28		DRIP-1	"dopamine receptor interacting protein 1"		CCDS32069	Q4W4Y0
C14orf37	chromosome 14 open reading frame 37					CCDS32089	Q86TY3
C14orf39	chromosome 14 open reading frame 39		SIX6OS1			CCDS9746	Q8N1H7
C14orf79	chromosome 14 open reading frame 79					CCDS42000	Q96F83
C14orf80	chromosome 14 open reading frame 80					CCDS45180, CCDS45181, CCDS45182, CCDS55955	Q86SX3
C14orf93	chromosome 14 open reading frame 93		FLJ12154			CCDS9583, CCDS61399, CCDS61400	Q9H972
C14orf105	chromosome 14 open reading frame 105		FLJ10650			CCDS9730, CCDS61458, CCDS61459	Q9NVL8
C14orf119	chromosome 14 open reading frame 119		FLJ20671			CCDS9588	Q9NWQ9
C14orf132	chromosome 14 open reading frame 132	C14orf88					Q9NPU4
C14orf142	chromosome 14 open reading frame 142					CCDS41981	Q9BXV9
C14orf144	chromosome 14 open reading frame 144						Q96I85
C14orf159	chromosome 14 open reading frame 159		FLJ39975			CCDS32141, CCDS41979, CCDS45150, CCDS66693, CCDS73677	Q7Z3D6
C14orf166	chromosome 14 open reading frame 166		CGI-99, RLLM1, CLE, CLE7, LCRP369	"RLL motif containing 1"	10810093, 24608264	CCDS9705	Q9Y224
C14orf169	chromosome 14 open reading frame 169		FLJ21802, NO66, MAPJD	"nucleolar protein 66", "Myc-associated protein with JmjC domain"	19927124, 17308053, 22750859	CCDS73660	Q9H6W3
C14orf177	chromosome 14 open reading frame 177		FLJ25773		12477932	CCDS9948	Q52M58
C14orf178	chromosome 14 open reading frame 178		FLJ25976		12477932	CCDS9868, CCDS53906	Q8N769
C14orf180	chromosome 14 open reading frame 180	C14orf77	NRAC	"nutritionally-regulated adipose and cardiac-enriched"	23029450	CCDS32166, CCDS66722	Q8N912
C15orf32	chromosome 15 open reading frame 32		FLJ32831				Q32M92
C15orf38-AP3S2	C15orf38-AP3S2 readthrough					CCDS55977	
C15orf39	chromosome 15 open reading frame 39		DKFZP434H132, FLJ46337			CCDS10276	Q6ZRI6
C15orf40	chromosome 15 open reading frame 40		MGC29937			CCDS32312, CCDS32312, CCDS53968, CCDS53969	Q8WUR7
C15orf41	chromosome 15 open reading frame 41		HH114, MGC11326, FLJ22851			CCDS45215, CCDS45216	Q9Y2V0
C15orf43	chromosome 15 open reading frame 43		MGC33951			CCDS10115	Q8NHR7
C15orf48	chromosome 15 open reading frame 48		NMES1	"normal mucosa of esophagus specific 1"	12209954	CCDS10124	Q9C002
C15orf52	chromosome 15 open reading frame 52		FLJ43339			CCDS10055	Q6ZUT6
C15orf53	chromosome 15 open reading frame 53		FLJ35695			CCDS10048	Q8NAA6
C15orf54	chromosome 15 open reading frame 54		FLJ39531				Q8N8G6
C15orf56	chromosome 15 open reading frame 56		FLJ38596				Q8N910
C15orf57	chromosome 15 open reading frame 57	CCDC32	MGC20481		12477932	CCDS10060, CCDS42022, CCDS73706	Q9BV29
C15orf59	chromosome 15 open reading frame 59		MGC131524, LOC388135		25048349	CCDS32289	Q2T9L4
C15orf59-AS1	C15orf59 antisense RNA 1		TCONS_00023459				
C15orf61	chromosome 15 open reading frame 61		LOC145853			CCDS45289	A6NNL5
C15orf62	chromosome 15 open reading frame 62		LOC643338			CCDS45229	A8K5M9
C15orf65	chromosome 15 open reading frame 65		FLJ27352			CCDS58363	H3BRN8
C16orf13	chromosome 16 open reading frame 13		MGC13114			CCDS32352, CCDS42090, CCDS42091, CCDS45367, CCDS45368, CCDS73798	Q96S19
C16orf45	chromosome 16 open reading frame 45		FLJ32618			CCDS10561, CCDS45422	Q96MC5
C16orf46	chromosome 16 open reading frame 46		FLJ32702			CCDS10932, CCDS42201	Q6P387
C16orf47	chromosome 16 open reading frame 47		FLJ26184				Q6ZP98
C16orf52	chromosome 16 open reading frame 52				12477932	CCDS58431	Q8NHV5
C16orf54	chromosome 16 open reading frame 54		FLJ35681		12975309	CCDS10652	Q6UWD8
C16orf58	chromosome 16 open reading frame 58		FLJ13868			CCDS10715	Q96GQ5
C16orf59	chromosome 16 open reading frame 59		FLJ13909		12477932	CCDS10468	Q7L2K0
C16orf62	chromosome 16 open reading frame 62		MGC16824		10493829	CCDS32397, CCDS32397, CCDS73840	Q7Z3J2
C16orf70	chromosome 16 open reading frame 70	C16orf6, LIN10	lin-10, FLJ12076		12477932	CCDS10828	Q9BSU1
C16orf71	chromosome 16 open reading frame 71		FLJ43261, DKFZp686H2240		12477932	CCDS10521	Q8IYS4
C16orf72	chromosome 16 open reading frame 72		FLJ41272, PRO0149		8889548	CCDS10538	Q14CZ0
C16orf74	chromosome 16 open reading frame 74		MGC17624			CCDS45540	Q96GX8
C16orf78	chromosome 16 open reading frame 78		MGC33367		12477932	CCDS10738	Q8WTQ4
C16orf82	chromosome 16 open reading frame 82		TNT		12477932		Q7Z2V1
C16orf86	chromosome 16 open reading frame 86		FLJ41802			CCDS32468	Q6ZW13
C16orf87	chromosome 16 open reading frame 87					CCDS10724	Q6PH81
C16orf89	chromosome 16 open reading frame 89		MGC45438		12975309, 20578903	CCDS42116, CCDS45404, CCDS42116, CCDS45404	Q6UX73
C16orf90	chromosome 16 open reading frame 90		LOC646174			CCDS45397	A8MZG2
C16orf91	chromosome 16 open reading frame 91		gs103, CCSMST1	"cattle cerebrum and skeletal muscle-specific protein 1 family member"		CCDS61789	Q4G0I0
C16orf92	chromosome 16 open reading frame 92		FLJ25404			CCDS42146	Q96LL3
C16orf95	chromosome 16 open reading frame 95					CCDS54049, CCDS58491, CCDS73921	Q9H693
C16orf96	chromosome 16 open reading frame 96					CCDS53986	A6NNT2
C16orf97	chromosome 16 open reading frame 97						H3BN30
C17orf47	chromosome 17 open reading frame 47		FLJ40121			CCDS32691	Q8NEP4
C17orf49	chromosome 17 open reading frame 49		MGC49942, BAP18, HEPIS	"BPTF associated protein of 18 kDa", "human embryo lung cellular protein interacting with SARS-CoV nsp-10"		CCDS32542, CCDS45595, CCDS45596	Q8IXM2
C17orf50	chromosome 17 open reading frame 50					CCDS42298	Q8WW18
C17orf51	chromosome 17 open reading frame 51		FLJ12977, FLJ31874, FLJ33618			CCDS45629	A8MQB3
C17orf53	chromosome 17 open reading frame 53		MGC3130			CCDS11477, CCDS59293	Q8N3J3
C17orf58	chromosome 17 open reading frame 58				12477932	CCDS42375, CCDS45765	Q2M2W7
C17orf62	chromosome 17 open reading frame 62		MGC4368, FLJ90469			CCDS32776, CCDS45817	Q9BQA9
C17orf64	chromosome 17 open reading frame 64				12477932	CCDS32698	Q86WR6
C17orf67	chromosome 17 open reading frame 67				12477932	CCDS42364, CCDS42364	Q0P5P2
C17orf74	chromosome 17 open reading frame 74				12477932	CCDS42255	Q0P670
C17orf75	chromosome 17 open reading frame 75		NJMU-R1			CCDS58537	Q9HAS0
C17orf77	chromosome 17 open reading frame 77		FLJ31882				Q96MU5
C17orf78	chromosome 17 open reading frame 78		FLJ39647		14702039	CCDS45655	Q8N4C9
C17orf80	chromosome 17 open reading frame 80		HLC-8, MIG3, FLJ20721, SPEP1	"sperm-expressed protein 1", "migration-inducing protein 3"	12477932	CCDS11694, CCDS42377, CCDS45767, CCDS74145	Q9BSJ5
C17orf82	chromosome 17 open reading frame 82						Q86X59
C17orf89	chromosome 17 open reading frame 89				17287340	CCDS45809	A1L188
C17orf96	chromosome 17 open reading frame 96		LOC100170841, PRR28	"proline rich 28"	24550272	CCDS45661	A6NHQ4
C17orf97	chromosome 17 open reading frame 97		LOC400566		25369936	CCDS32519	Q6ZQX7
C17orf98	chromosome 17 open reading frame 98		LOC388381		16625196	CCDS42310	A8MV24
C17orf99	chromosome 17 open reading frame 99		GLPG464, UNQ464			CCDS54171	Q6UX52
C17orf100	chromosome 17 open reading frame 100		LOC388327			CCDS73952	A8MU93
C17orf102	chromosome 17 open reading frame 102		FLJ44815				A2RUQ5
C17orf105	chromosome 17 open reading frame 105					CCDS45695	B2RV13
C17orf107	chromosome 17 open reading frame 107					CCDS45591	Q6ZR85
C17orf112	chromosome 17 open reading frame 112						F2Z3M2
C18orf8	chromosome 18 open reading frame 8		MIC1, MIC-1, HsT2591	"colon cancer associated protein Mic1", "macrophage inhibitory cytokine 1"	12477932	CCDS32803, CCDS74199	Q96DM3
C18orf12	chromosome 18 open reading frame 12		HEIL1, HsT2508				Q96KH6
C18orf15	chromosome 18 open reading frame 15		FLJ31338, HsT3231		14702039		Q96N68
C18orf21	chromosome 18 open reading frame 21		PNAS-131, PNAS-124, HsT3108		12477932	CCDS11916, CCDS56064, CCDS74212	Q32NC0
C18orf25	chromosome 18 open reading frame 25		MGC12909, ARKL1, RNF111L1	"ARKadia-like 1"	15722956	CCDS42430, CCDS42431	Q96B23
C18orf32	chromosome 18 open reading frame 32		FLJ23458			CCDS32831	Q8TCD1
C18orf42	chromosome 18 open reading frame 42				25653177	CCDS54179	P0CW23
C18orf54	chromosome 18 open reading frame 54		MGC33382, LAS2	"lung adenoma susceptibility protein 2"		CCDS11956, CCDS74223	Q8IYD9
C18orf63	chromosome 18 open reading frame 63		DKFZP781G0119			CCDS54189	Q68DL7
C18orf65	chromosome 18 open reading frame 65						Q6ZTR6
C19orf12	chromosome 19 open reading frame 12	SPG43	MGC10922, DKFZP762D096, NBIA4	"neurodegeneration with brain iron accumulation 4"	21981780, 23857908	CCDS12418, CCDS42542, CCDS59373, CCDS74325	Q9NSK7
C19orf18	chromosome 19 open reading frame 18		MGC41906		12477932	CCDS12967	Q8NEA5
C19orf24	chromosome 19 open reading frame 24		FLJ20640		16847563	CCDS12060	Q9BVV8
C19orf25	chromosome 19 open reading frame 25		FLJ36666		8619474, 9110174	CCDS45898	Q9UFG5
C19orf33	chromosome 19 open reading frame 33		IMUP-1, IMUP-2, H2RSP, IMUP	"immortalization-upregulated protein", "HAI-2 related small protein", "hepatocyte growth factor activator inhibitor type 2-related small protein"	11080599	CCDS12511	Q9GZP8
C19orf35	chromosome 19 open reading frame 35		FLJ45778			CCDS12087	Q6ZS72
C19orf38	chromosome 19 open reading frame 38		HIDE1	"Highly expressed in immature dendritic cell transcript 1"		CCDS45970	A8MVS5
C19orf43	chromosome 19 open reading frame 43		MGC2803, fSAP18	"functional spliceosome-associated protein 18"	12477932	CCDS12279	Q9BQ61
C19orf44	chromosome 19 open reading frame 44		FLJ21742		12477932	CCDS12345, CCDS74306	Q9H6X5
C19orf45	chromosome 19 open reading frame 45		FLJ35784		12477932	CCDS12179	Q8NA69
C19orf47	chromosome 19 open reading frame 47		FLJ36888		12477932	CCDS58662	Q8N9M1
C19orf48	chromosome 19 open reading frame 48		MGC13170	"multidrug resistance-related protein"	12452007, 18698046	CCDS12803	Q6RUI8
C19orf52	chromosome 19 open reading frame 52				12477932	CCDS12252	Q9BSF4
C19orf53	chromosome 19 open reading frame 53		HSPC023, LYDG10	"leydig cell tumor 10 kDa protein homolog"	11042152	CCDS12298	Q9UNZ5
C19orf54	chromosome 19 open reading frame 54		FLJ41131			CCDS12564	Q5BKX5
C19orf57	chromosome 19 open reading frame 57		MGC11271		8228263	CCDS12299	Q0VDD7
C19orf60	chromosome 19 open reading frame 60		FLJ20850, FLJ30108, FLJ34606, FLJ37391		12477932	CCDS42524, CCDS46019	Q96EN9
C19orf66	chromosome 19 open reading frame 66		FLJ11286		12477932	CCDS45957, CCDS77231	Q9NUL5
C19orf67	chromosome 19 open reading frame 67					CCDS59360	A6NJJ6
C19orf68	chromosome 19 open reading frame 68		LOC374920		12477932	CCDS74411	Q86XI8
C19orf70	chromosome 19 open reading frame 70		QIL1, P117		14702039, 17353931, 25997101	CCDS12143, CCDS77221	Q5XKP0
C19orf71	chromosome 19 open reading frame 71		LOC100128569			CCDS45918	A6NCJ1
C19orf73	chromosome 19 open reading frame 73		FLJ10490		12477932	CCDS42589	Q9NVV2
C19orf81	chromosome 19 open reading frame 81					CCDS54296	C9J6K1
C19orf84	chromosome 19 open reading frame 84				12477932	CCDS58676	I3L1E1
C20orf24	chromosome 20 open reading frame 24		PNAS-11, RIP5		15178406	CCDS13279, CCDS13280, CCDS56190	Q9BUV8
C20orf27	chromosome 20 open reading frame 27		FLJ20550	"hypothetical protein LOC54976"	11780052	CCDS33436, CCDS58763	Q9GZN8
C20orf78	chromosome 20 open reading frame 78		dJ1068E13.1		11780052		Q9BR46
C20orf85	chromosome 20 open reading frame 85		bA196N14.1, LLC1	"Low in Lung Cancer 1"		CCDS13465	Q9H1P6
C20orf96	chromosome 20 open reading frame 96		dJ1103G7.2			CCDS12994, CCDS74685	Q9NUD7
C20orf141	chromosome 20 open reading frame 141		dJ860F19.4			CCDS13034	Q9NUB4
C20orf144	chromosome 20 open reading frame 144		dJ63M2.6, bclt	"bcl-2-like protein from testis"	11780052	CCDS13223	Q9BQM9
C20orf166-AS1	C20orf166 antisense RNA 1	C20orf200, NCRNA00335	FLJ30313				Q96NR2
C20orf173	chromosome 20 open reading frame 173		dJ477O4.4			CCDS46594	Q96LM9
C20orf181	chromosome 20 open reading frame 181		dJ824A14.1				
C20orf187	chromosome 20 open reading frame 187		dJ727I10.1				Q9UGB4
C20orf194	chromosome 20 open reading frame 194		DKFZp434N061			CCDS42851	Q5TEA3
C20orf195	chromosome 20 open reading frame 195		MGC5356		12477932	CCDS13526	Q9BVV2
C20orf196	chromosome 20 open reading frame 196		FLJ25067		12477932	CCDS13091, CCDS77565	Q8IYI0
C20orf197	chromosome 20 open reading frame 197		FLJ33860		12975309		Q8N268
C20orf202	chromosome 20 open reading frame 202					CCDS46567	A1L168
C20orf203	chromosome 20 open reading frame 203		FLJ33706		20376170		Q8NBC4
C21orf2	chromosome 21 open reading frame 2		YF5, A2, LRRC76	"nuclear encoded mitochondrial protein", "leucine rich repeat containing 76"	9465297	CCDS13709, CCDS59444, CCDS59445	O43822
C21orf33	chromosome 21 open reading frame 33		KNP-Ia, GT335, ES1, HES1, D21S2048E, KNPI, KNPH, KNP-I		9150728, 8975701	CCDS33580, CCDS33581	P30042
C21orf58	chromosome 21 open reading frame 58					CCDS13735, CCDS68229	P58505
C21orf59	chromosome 21 open reading frame 59	C21orf48	FLJ20467, FBB18, CILD26		24094744	CCDS13617	P57076
C21orf62	chromosome 21 open reading frame 62	C21orf120	B37, PRED81			CCDS42919, CCDS42919	Q9NYP8
C21orf62-AS1	C21orf62 antisense RNA 1	C21orf49					Q17RA5
C21orf91	chromosome 21 open reading frame 91	C21orf38, C21orf14	YG81, EURL, CSSG1	"cold sore susceptibility gene 1", "early undifferentiated retina and lens"	22039568	CCDS42907, CCDS42908, CCDS42909	Q9NYK6
C21orf91-OT1	C21orf91 overlapping transcript 1	NCRNA00285	D21S2089E		12036297		
C21orf140	chromosome 21 open reading frame 140					CCDS63357	B9A014
C22orf15	chromosome 22 open reading frame 15		FLJ36561, N27C7-3			CCDS13814	Q8WYQ4
C22orf23	chromosome 22 open reading frame 23		FLJ32787, EVG1, LOC84645		11237012	CCDS13962, CCDS74860	Q9BZE7
C22orf24	chromosome 22 open reading frame 24		HSN44A4A				Q9Y442
C22orf29	chromosome 22 open reading frame 29		FLJ21125		12477932	CCDS13769	Q7L3V2
C22orf31	chromosome 22 open reading frame 31		HS747E2A, bK747E2.1		15461802	CCDS13848	O95567
C22orf34	chromosome 22 open reading frame 34				12477932		Q6ZV56
C22orf39	chromosome 22 open reading frame 39		MGC74441			CCDS33599, CCDS33599, CCDS54498	Q6P5X5
C22orf42	chromosome 22 open reading frame 42				12477932	CCDS33639	Q6IC83
C22orf46	chromosome 22 open reading frame 46		FLJ23584, CTA-216E10.6		12477932	CCDS46717	C9J442
CA1	carbonic anhydrase I		Car1		1916821	CCDS6237	P00915
CA2	carbonic anhydrase II		Car2, CA-II, CAII		3107918	CCDS6239	P00918
CA3	carbonic anhydrase III		Car3, CAIII		6221502	CCDS6238	P07451
CA3-AS1	CA3 antisense RNA 1						
CA4	carbonic anhydrase IV	RP17	CAIV, Car4		8325641	CCDS11624	P22748
CA5A	carbonic anhydrase VA, mitochondrial	CA5	CAV, CAVA		8356065, 7490083	CCDS10965	P35218
CA5AP1	carbonic anhydrase VA pseudogene 1	CA5P			7490083		
CA5B	carbonic anhydrase VB, mitochondrial				10409679	CCDS14171	Q9Y2D0
CA5BP1	carbonic anhydrase VB pseudogene 1	CA5BL, CA5BP	PRO2325	"similar to carbonic anhydrase VB, mitochondrial precursor", "carbonic dehydratase"	12477932		Q8WTZ4
CA6	carbonic anhydrase VI				9691177	CCDS30578, CCDS57970, CCDS57971	P23280
CA7	carbonic anhydrase VII				1783392	CCDS10821, CCDS42173	P43166
CA8	carbonic anhydrase VIII	CALS	CARP		17219437	CCDS6174	P35219
CA9	carbonic anhydrase IX		MN, CAIX	"carbonic dehydratase", "RCC-associated protein G250"	8661007, 9787087	CCDS6585	Q16790
CA10	carbonic anhydrase X		CARPX, CA-RPX, HUCEP-15		8673298, 9921901	CCDS32684	Q9NS85
CA11	carbonic anhydrase XI		CARP2, CARPX1	"CA-RP XI", "carbonic anhydrase-related protein XI", "carbonic anhydrase-related protein 2"	9878252	CCDS12729	O75493
CA12	carbonic anhydrase XII		HsT18816		9636197	CCDS10185, CCDS10186, CCDS76767	O43570
CA13	carbonic anhydrase XIII		CAXIII, FLJ37995, MGC59868		14600151	CCDS6236	Q8N1Q1
CA14	carbonic anhydrase XIV				10512682	CCDS947	Q9ULX7
CA15P1	carbonic anhydrase XV, pseudogene 1				16083424		
CA15P2	carbonic anhydrase XV, pseudogene 2				16083424		
CA15P3	carbonic anhydrase XV, pseudogene 3				16083424		
CAAP1	caspase activity and apoptosis inhibitor 1	C9orf82	FLJ13657, CAAP	"conserved anti-apoptotic protein"	21980415	CCDS6516, CCDS55299	Q9H8G2
CAB39	calcium binding protein 39		CGI-66, MO25			CCDS2478	Q9Y376
CAB39L	calcium binding protein 39-like		bA103J18.3, FLJ12577, MO2L			CCDS9416	Q9H9S4
CAB39P1	calcium binding protein 39 pseudogene 1						
CABIN1	calcineurin binding protein 1		KIAA0330, PPP3IN		9655484, 9205841	CCDS13823, CCDS74830	Q9Y6J0
CABLES1	Cdk5 and Abl enzyme substrate 1		HsT2563, FLJ35924		17982127	CCDS42417, CCDS42418, CCDS58615	Q8TDN4
CABLES2	Cdk5 and Abl enzyme substrate 2	C20orf150	dJ908M14.2, ik3-2		12477932	CCDS33503	Q9BTV7
CABP1	calcium binding protein 1			"calbrain", "caldendrin"	9920909, 10625670	CCDS9204, CCDS9205, CCDS31913	Q9NZU7
CABP2	calcium binding protein 2				10625670	CCDS8170	Q9NPB3
CABP4	calcium binding protein 4		CSNB2B		10625670, 16960802	CCDS8166, CCDS73333	P57796
CABP5	calcium binding protein 5	CABP3	CaBP3		10625670	CCDS12709	Q9NP86
CABP7	calcium binding protein 7		MGC57793		11785943	CCDS13867	Q86V35
CABS1	calcium-binding protein, spermatid-specific 1	C4orf35	NYD-SP26, FLJ32897, CLPH	"casein-like phosphoprotein"	19208547, 19271754	CCDS3539	Q96KC9
CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated		FSP-2, CBP86, CT88	"fibrousheathin 2", "cancer/testis antigen 88"	11820818, 17317841, 16139264	CCDS11881, CCDS11882, CCDS11883, CCDS42420, CCDS45840, CCDS77166	O75952
CABYRP1	calcium binding tyrosine-(Y)-phosphorylation regulated pseudogene 1	CABYRP					
